dejected,crying,5
dejected,disappointed,7
dejected,pensive,25
dejected,tear,2
dejected,tired,6
dejected,weary,5
depressed,crying,4
depressed,disappointed,12
depressed,pensive,18
depressed,tear,5
depressed,tired,2
depressed,weary,9
displeased,crying,6
displeased,disappointed,11
displeased,pensive,12
displeased,tear,3
displeased,tired,9
displeased,weary,9
heartbroken,crying,17
heartbroken,disappointed,5
heartbroken,pensive,3
heartbroken,tear,8
heartbroken,tired,10
heartbroken,weary,7
miserable,crying,12
miserable,disappointed,10
miserable,pensive,4
miserable,tear,4
miserable,tired,4
miserable,weary,16
sad,crying,6
sad,disappointed,15
sad,pensive,12
sad,tear,13
sad,weary,4
unhappy,crying,6
unhappy,disappointed,14
unhappy,pensive,13
unhappy,tear,5
unhappy,tired,5
unhappy,weary,7
